ticker,year,TotalAset,TotalLiabilitas,TotalCurrentAssets,TotalCurrentLiabilities,NetIncome,OperatingCashFlow,RetainedEarning,EBIT,Sales,DepreciationAmortization,OutstandingShares
ADES,2020,958791000000,258283000000,545239000000,,135789000000,230679000000,94853000000,,,,
ADES,2020,958791000000,,545239000000,,135789000000,230679000000,94853000000,,,,
ADES,2021,1304108000000,,673394000000,,265758000000,308296000000,360611000000,,,,
ADES,2022,1645582000000,310746000000,815319000000,,364972000000,312748000000,725583000000,,,,
ADES,2023,,,,,395798000000,459648000000,1121381000000,,,,
AISA,2020,2011557000000,1183300000000,695360000000,855449000000,1204972000000,-58485000000,-3048853000000,2131973000000,1283331000000,,9311800000
AISA,2021,1761634000000,942744000000,432800000000,720020000000,8753092000,,-843977000000,53925000000,1520879000000,,9311800000
AISA,2022,1826350000000,1048489000000,558960000000,827907000000,-623590000000,-417890000000,-3009932000000,-275120000000,1843760000000,,9311800000
AISA,2023,,,,,,,,,,,
PSDN,2021,745575763094,647208608724,260869465852,342552764482,-21784386527,29074928715,-277263504953,-16042003159,249933618247,,1440000000
PSDN,2023,151973453634,85891241704,17283295365,78816832618,143397423734,-138134420793,,169591000000,266131773827,,1440000000
PSGO,2021,3731908000000,2307096000000,953900000000,418050000000,213842000000,369005000000,,368079000000,1766255000000,,
PSGO,2023,4181184000000,1944063000000,1865396000000,673506000000,,,,,2049488000000,,
RANC,2021,1512036000000,1004972000000,,,9839000000,99018000000,,,,,
RANC,2023,1247187872000,947996997000,519333038000,663440550000,-121047971000,136082896000,,-84640000000,2804214846000,,
RANC,2023,,,,,,,,,,,
ROTI,2021,4191284422677,1341864891951,1282057210341,483213195704,281340682456,643601152274,1612234910767,409672487176,3287623237457,,6186488888
ROTI,2023,3943518425042,1550086849761,1164940801635,669095049839,333300420963,618793076443,1428800907546,478194636476,3820532634926,,6186488888
SDPC,2021,1206386000000,969407000000,1070305000000,942589000000,9571000000,-18176000000,,57737000000,2988849000000,,1274000000
SGRO,2021,9751000000000,5155000000000,1398000000000,1280000000000,815000000000,1774000000000,3214000000000,1414000000000,,,
ADES,2020,958791000000,258283000000,545239000000,183559000000,135789000000,230679000000,94853000000,167919000000,673364000000,,,589896800
ADES,2020,958791000000,258283000000,545239000000,183559000000,135789000000,230679000000,94853000000,176428000000,673364000000,,,589896800
